iter	Logloss
0	0.4986739135
1	0.3682529451
2	0.3255485874
3	0.297832657
4	0.2690501689
5	0.2565073768
6	0.2507962792
7	0.2439384042
8	0.2398178554
9	0.2386013203
10	0.2373498472
11	0.2315260491
12	0.229898899
13	0.2292249249
14	0.2277295493
15	0.2271616967
16	0.2268676846
17	0.226058874
18	0.2255596293
19	0.2249635733
20	0.2245894408
21	0.2240764492
22	0.2238327027
23	0.2230453495
24	0.2224678542
25	0.2210623564
26	0.2204808677
27	0.2201332793
28	0.2190486929
29	0.2186682963
30	0.2180498292
31	0.2176771771
32	0.2170418755
33	0.2166752028
34	0.2161168638
35	0.2158550886
36	0.2157074854
37	0.2151893907
38	0.2148895805
39	0.2145525007
40	0.214073261
41	0.2136267544
42	0.2127872978
43	0.2124050614
44	0.2122502338
45	0.2120190926
46	0.2112267772
47	0.2107705928
48	0.210185234
49	0.2098254666
