iter	Passed	Remaining
0	4	243
1	9	228
2	15	237
3	19	223
4	25	228
5	30	223
6	36	222
7	40	213
8	44	203
9	48	192
10	51	182
11	54	173
12	57	165
13	61	158
14	64	150
15	67	144
16	71	138
17	75	133
18	78	128
19	82	123
20	86	119
21	90	114
22	94	110
23	97	105
24	100	100
25	104	96
26	107	91
27	111	87
28	115	83
29	120	80
30	124	76
31	128	72
32	131	67
33	136	64
34	141	60
35	144	56
36	148	52
37	151	47
38	154	43
39	158	39
40	161	35
41	165	31
42	168	27
43	172	23
44	176	19
45	180	15
46	183	11
47	187	7
48	191	3
49	195	0
