iter	Passed	Remaining
0	3	3691
1	6	3235
2	9	2999
3	12	2988
4	14	2948
5	18	2998
6	20	2948
7	23	2909
8	26	2879
9	28	2836
10	31	2840
11	34	2809
12	37	2809
13	39	2798
14	42	2773
15	44	2764
16	47	2746
17	50	2758
18	53	2748
19	55	2731
20	58	2727
21	61	2716
22	63	2709
23	66	2702
24	68	2689
25	71	2693
26	74	2682
27	77	2677
28	79	2674
29	82	2663
30	85	2679
31	88	2674
32	91	2673
33	94	2672
34	96	2667
35	99	2672
36	102	2661
37	105	2659
38	107	2652
39	110	2652
40	113	2664
41	116	2667
42	120	2672
43	122	2667
44	126	2681
45	128	2675
46	132	2681
47	134	2677
48	138	2680
49	140	2677
50	143	2671
51	146	2671
52	149	2663
53	152	2663
54	154	2658
55	157	2658
56	160	2657
57	163	2651
58	166	2649
59	168	2642
60	171	2639
61	174	2635
62	176	2628
63	179	2630
64	182	2629
65	186	2633
66	189	2632
67	191	2630
68	195	2635
69	198	2635
70	201	2635
71	204	2638
72	207	2635
73	210	2628
74	212	2626
75	215	2619
76	218	2614
77	220	2611
78	223	2604
79	226	2604
80	229	2599
81	231	2596
82	234	2594
83	237	2589
84	240	2586
85	242	2581
86	245	2579
87	248	2576
88	251	2570
89	253	2567
90	256	2562
91	259	2558
92	261	2554
93	264	2550
94	267	2550
95	270	2544
96	272	2541
97	275	2536
98	278	2533
99	281	2533
100	284	2531
101	287	2530
102	290	2525
103	292	2523
104	295	2519
105	298	2514
106	301	2512
107	303	2506
108	306	2504
109	309	2502
110	311	2497
111	314	2494
112	317	2490
113	320	2487
114	322	2483
115	325	2479
116	328	2477
117	330	2472
118	333	2469
119	336	2466
120	338	2462
121	341	2458
122	344	2453
123	346	2450
124	349	2447
125	352	2443
126	355	2440
127	357	2436
128	360	2435
129	363	2431
130	366	2428
131	368	2424
132	371	2420
133	374	2417
134	377	2421
135	382	2430
136	385	2430
137	388	2429
138	391	2425
139	394	2422
140	397	2421
141	400	2420
142	403	2417
143	405	2412
144	408	2409
